Date,Transaction ID,Amount (ILS),Payment Method,Currency
2026-02-03,25899762946380292-25866559626367292,6.25,Ad Credits,ILS
2026-02-04,25972122105811040-26653795934310313,796.00,Visa ····2701,ILS
2026-02-08,25842699325419984-25958084883881431,839.00,Visa ····2701,ILS
2026-02-11,26080371144986139-25898299629859956,734.72,Visa ····2701,ILS
2026-02-15,26762462596776979-25904896482533601,883.00,Visa ····2701,ILS
2026-02-18,26149901634699756-26149901701366416,929.00,Visa ····2701,ILS
2026-02-22,26150064551350127-26002870876069497,929.00,Visa ····2701,ILS
2026-02-23,26072299335793319-26166513249705257,929.00,Visa ····2701,ILS
2026-02-25,26121221537567764-26088203364202916,929.00,Visa ····2701,ILS
2026-02-27,26053889440967640-26053889494300968,628.89,Visa ····2701,ILS
,,,,
Total,,7603.86,,ILS
Visa Total,,7597.61,,
Ad Credits Total,,6.25,,
,,,,
Account,1854553242143860,,,
Period,2026-02-01 to 2026-03-01,,,
VAT Rate,0%,,,
VAT Amount,0.00,,,
