מידע של Meta
Meta Platforms Ireland Limited,Merrion Road,Dublin 4,D04 X2K5,Ireland,VAT Reg. No. IE9692928F

פרטי המפרסם
חשבון: ‏1854553242143860‏

דיווח חיובים: ‏‏1.2.2026‏ - ‏1.3.2026‏‏

‏מודעות של Meta‏ תשלום
אמצעי תשלום: ‏‏‎Visa‎‏ ···· ‏2701‏‏
תאריך,מזהה עסקה,סכום,מטבע
27.2.2026,26053889440967640-26053889494300968,628.89,ILS
25.2.2026,26121221537567764-26088203364202916,929.00,ILS
23.2.2026,26072299335793319-26166513249705257,929.00,ILS
22.2.2026,26150064551350127-26002870876069497,929.00,ILS
18.2.2026,26149901634699756-26149901701366416,929.00,ILS
15.2.2026,26762462596776979-25904896482533601,883.00,ILS
11.2.2026,26080371144986139-25898299629859956,734.72,ILS
8.2.2026,25842699325419984-25958084883881431,839.00,ILS
4.2.2026,25972122105811040-26653795934310313,796.00,ILS
,הסכום הכולל לחיוב,"7,597.61",ILS

‏מודעות של Meta‏ תשלום
אמצעי תשלום: ‏קרדיט למודעות‏
תאריך,מזהה עסקה,סכום,מטבע
3.2.2026,25899762946380292-25866559626367292,6.25,ILS
,הסכום הכולל לחיוב,6.25,ILS

VAT Rate: 0%
VAT Amount: 0.00
